RK,PLAYER,POS,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD,YEAR
NA,101,Earl Thomas, S,SEA,18,36,54,0.0,0,5,2,97,78,1,1,0,2017
0,
NA,Jason Pierre-Paul, DE,NYG,16,38,54,6.5,39,3,0,0,0,0,2,0,0,2017
NA,A.J. Klein, LB,NO,17,37,54,2.0,21,4,0,0,0,0,1,0,0,2017
NA,Ray-Ray Armstrong, LB,NYG/SF,15,39,54,1.0,5,2,2,29,29,0,1,0,0,2017
NA,Trae Waynes, CB,MIN,7,47,54,0.0,0,8,2,21,18,0,0,0,0,2017
NA,Joey Bosa, DE,LAC,12,42,54,11.5,60,1,0,0,0,0,4,0,0,2017
NA,Adoree' Jackson, CB,TEN,8,46,54,0.0,0,12,0,0,0,0,2,0,0,2017
108,Dontae Johnson, CB,SF,7,46,53,0.0,0,6,0,0,0,0,0,0,0,2017
NA,Andre Hal, S,HOU,19,34,53,0.0,0,5,3,10,7,0,2,0,0,2017
NA,Kwon Alexander, LB,TB,17,36,53,0.0,0,3,2,42,22,0,1,0,0,2017
NA,
NA,Zach Cunningham, LB,HOU,27,26,53,1.0,3,2,0,0,0,0,1,0,0,2017
NA,Jamal Adams, S,NYJ,11,42,53,2.0,18,4,0,0,0,0,0,2,0,2017
113,Eric Weddle, S,BAL,10,42,52,1.0,7,7,5,72,45,1,2,0,0,2017
NA,NaVorro Bowman, LB,OAK/SF,21,31,52,0.0,0,1,1,0,0,0,0,1,0,2017
NA,Sean Lee, LB,DAL,11,41,52,0.0,0,0,0,0,0,0,0,0,0,2017
NA,Cameron Jordan, DE,NO,14,38,52,10.0,77,6,1,0,0,1,2,0,0,2017
NA,Chris Conte, S,TB,11,41,52,0.0,0,5,1,0,0,0,2,0,0,2017
NA,Robert Alford, CB,ATL,7,45,52,0.0,0,15,0,0,0,0,0,0,0,2017
NA,Logan Ryan, CB,TEN,12,40,52,0.0,0,11,0,0,0,0,1,0,0,2017
120,Kurt Coleman, S,CAR,18,33,51,0.0,0,1,0,0,0,0,0,1,0,2017
,
121,Craig Robertson, LB,NO,18,33,51,2.0,19,2,0,0,0,0,1,2,0,2017
NA,Darian Thompson, S,NYG,9,42,51,0.0,0,5,1,0,0,0,0,0,0,2017
123,Darian Stewart, S,DEN,10,40,50,0.0,0,2,1,0,0,0,0,0,0,2017
NA,Jamar Taylor, CB,CLE,12,38,50,0.0,0,9,0,0,0,0,1,0,0,2017
NA,Jeff Heath, S,DAL,6,44,50,0.0,0,3,2,17,14,0,2,0,0,2017
NA,DeMarcus Lawrence, DE,DAL,20,30,50,13.5,138,1,0,0,0,0,4,2,0,2017
NA,Shaq Thompson, LB,CAR,14,36,50,2.0,15,1,0,0,0,0,2,0,0,2017
NA,Budda Baker, S,ARI,8,42,50,1.0,7,5,0,0,0,0,2,1,0,2017
129,Mike Adams, S,CAR,15,34,49,0.0,0,7,2,42,40,0,1,0,0,2017
NA,Morgan Burnett, S,GB,14,35,49,0.0,0,3,0,0,0,0,1,0,0,2017
NA,
NA,Kam Chancellor, S,SEA,15,34,49,0.0,0,2,0,0,0,0,1,0,0,2017
NA,Tashaun Gipson, S,JAX,9,40,49,0.0,0,7,4,83,67,0,0,1,0,2017
NA,Bradley McDougald, S,SEA,15,34,49,0.0,0,3,0,0,0,0,0,0,0,2017
NA,Malcolm Butler, CB,NE,5,44,49,0.0,0,12,2,-1,1,0,2,0,0,2017
NA,Adrian Phillips, S,LAC,11,38,49,0.0,0,4,2,13,9,0,1,0,0,2017
136,Antoine Bethea, S,ARI,9,39,48,1.0,8,6,3,37,21,0,0,0,0,2017
NA,Justin Houston, LB,KC,10,38,48,8.5,48,4,0,0,0,0,0,1,1,2017
NA,Bennie Logan, DT,KC,17,31,48,1.5,10,1,0,0,0,0,0,0,0,2017
NA,James Burgess Jr., LB,CLE,19,29,48,3.0,20,3,0,0,0,0,1,0,0,2017
NA,Brian Poole, CB,ATL,12,36,48,1.0,12,4,0,0,0,0,0,0,0,2017
NA,141,Linval Joseph, DT,MIN,15,32,47,2.5,18,0,0,0,0,0,0,1,2017
0,
NA,Kenny Vaccaro, S,NO,10,37,47,1.5,8,7,3,41,30,0,0,1,1,2017
NA,Jalen Ramsey, CB,JAX,7,40,47,0.0,0,16,3,34,18,0,0,0,0,2017
NA,John Johnson III, S,LAR,10,37,47,0.0,0,7,1,69,69,0,0,0,0,2017
NA,Marcus Williams, S,NO,10,37,47,0.0,0,4,1,0,0,0,0,0,0,2017
146,Calais Campbell, DE,JAX,14,32,46,12.5,85,1,0,0,0,0,3,1,1,2017
NA,Von Miller, LB,DEN,3,43,46,9.0,58,2,0,0,0,0,1,0,0,2017
NA,Buster Skrine, CB,NYJ,3,43,46,1.0,12,7,1,0,0,0,1,1,0,2017
NA,Michael Brockers, DT,LAR,11,35,46,3.0,9,3,0,0,0,0,0,0,0,2017
NA,Ricardo Allen, S,ATL,12,34,46,0.0,0,1,0,0,0,0,0,0,0,2017
NA,
NA,Trey Flowers, DE,NE,13,33,46,6.0,26,3,0,0,0,0,2,0,0,2017
NA,B.J. Goodson, LB,NYG,12,34,46,0.0,0,2,0,0,0,0,1,0,0,2017
NA,DeForest Buckner, DE,SF,11,35,46,1.5,13,3,0,0,0,0,1,0,0,2017
NA,Derrick Kindred, S,CLE,10,36,46,0.0,0,3,1,30,30,0,0,0,0,2017
NA,Trevor Williams, CB,LAC,7,39,46,0.0,0,12,2,28,21,0,0,0,0,2017
NA,Mike Hilton, CB,PIT,14,32,46,1.0,6,2,2,45,26,0,0,0,0,2017
NA,Elandon Roberts, LB,NE,11,35,46,2.0,13,1,0,0,0,0,0,1,0,2017
NA,Desmond King, CB,LAC,2,44,46,3.0,5,4,1,90,90,1,0,0,0,2017
NA,Tre'Davious White, CB,BUF,8,38,46,0.0,0,15,3,77,63,0,1,2,1,2017
160,Bruce Irvin, LB,OAK,17,28,45,5.5,18,1,0,0,0,0,3,0,0,2017
,
161,Josh Norman, CB,WSH,11,34,45,0.0,0,6,0,0,0,0,2,1,0,2017
NA,Ryan Smith, CB,TB,8,37,45,0.0,0,4,0,0,0,0,3,1,0,2017
NA,Anthony Brown, CB,DAL,6,39,45,0.0,0,7,2,16,16,0,0,0,0,2017
NA,Calvin Munson, LB,NYG,18,27,45,2.0,5,0,0,0,0,0,1,0,0,2017
NA,Reuben Foster, LB,SF,8,37,45,0.0,0,1,0,0,0,0,0,0,0,2017
166,Chandler Jones, LB,ARI,6,38,44,13.0,89,2,0,0,0,0,2,0,0,2017
NA,Eric Reid, S,SF,9,35,44,0.0,0,3,2,0,0,0,0,1,0,2017
NA,Terrance Mitchell, CB,KC,5,39,44,0.0,0,13,2,0,0,0,0,0,0,2017
NA,Grady Jarrett, DT,ATL,17,27,44,2.5,21,0,0,0,0,0,0,0,0,2017
NA,Martrell Spaight, LB,WSH,21,23,44,0.0,0,1,0,0,0,0,0,1,0,2017
NA,
NA,Eddie Jackson, S,CHI,8,36,44,0.0,0,5,1,76,76,1,0,1,1,2017
172,Akiem Hicks, DE,CHI,9,34,43,7.0,47,0,0,0,0,0,0,2,0,2017
NA,Alex Okafor, DE,NO,16,27,43,4.5,26,4,0,0,0,0,2,0,0,2017
NA,John Simon, LB,IND,15,28,43,3.0,15,1,1,26,26,1,0,0,0,2017
NA,A.J. Bouye, CB,JAX,2,41,43,0.0,0,13,4,70,51,0,0,0,0,2017
NA,E.J. Gaines, CB,BUF,8,35,43,0.0,0,6,1,1,1,0,2,0,0,2017
NA,Jabrill Peppers, S,CLE,11,32,43,0.0,0,2,0,0,0,0,0,0,0,2017
NA,Matthew Judon, LB,BAL,7,36,43,6.0,54,2,0,0,0,0,1,1,0,2017
179,Paul Posluszny, LB,JAX,12,30,42,1.5,6,2,0,0,0,0,0,0,0,2017
NA,Dominique Rodgers-Cromartie, CB,NYG,16,26,42,0.5,5,0,0,0,0,0,0,0,0,2017
NA,
NA,Dre Kirkpatrick, CB,CIN,7,35,42,1.0,2,8,1,101,101,0,1,0,0,2017
NA,D.J. Reader, DT,HOU,22,20,42,1.0,2,0,0,0,0,0,0,0,0,2017
NA,Vernon Hargreaves III, CB,TB,5,37,42,0.0,0,5,0,0,0,0,0,0,0,2017
184,Jason McCourty, CB,CLE,6,35,41,0.0,0,12,3,59,56,1,2,0,0,2017
